Timestamp,EventType,Severity,Location,TargetSector,ThreatActor,ImpactScore,Date,Hour,DayOfWeek,Month,Quarter,Year,CumulativeImpact,Latitude,Longitude
2024-01-02 12:00:00,Data Breach,Low,Australia,Technology,Nation State,32,2024-01-02,12,Tuesday,2024-01,2024Q1,2024,2328,-26.270024945824538,136.84077470204022
2024-01-02 13:00:00,Social Engineering,Low,Europe,Government,Unknown,98,2024-01-02,13,Tuesday,2024-01,2024Q1,2024,2426,48.22543681213177,2.1276401194528782
2024-01-02 14:00:00,Cyber Attack,Low,Asia,Government,Unknown,50,2024-01-02,14,Tuesday,2024-01,2024Q1,2024,2476,30.111567223026334,106.2209228281344
2024-01-02 15:00:00,Physical Intrusion,High,Australia,Technology,Unknown,94,2024-01-02,15,Tuesday,2024-01,2024Q1,2024,2570,-22.44915631418408,136.01570882114746
2024-01-02 16:00:00,Insider Threat,Medium,Africa,Energy,Unknown,24,2024-01-02,16,Tuesday,2024-01,2024Q1,2024,2594,-0.8078655859944999,22.183750640768643
2024-01-02 17:00:00,Cyber Attack,High,Africa,Healthcare,Insider,92,2024-01-02,17,Tuesday,2024-01,2024Q1,2024,2686,-3.96452762320304,20.57870593498687
2024-01-02 18:00:00,Insider Threat,Critical,Asia,Energy,Nation State,46,2024-01-02,18,Tuesday,2024-01,2024Q1,2024,2732,35.48886337710185,106.75851540546552
2024-01-02 19:00:00,Physical Intrusion,High,Australia,Finance,Nation State,3,2024-01-02,19,Tuesday,2024-01,2024Q1,2024,2735,-24.785859398101213,136.74193591897168
2024-01-02 20:00:00,Physical Intrusion,Medium,South America,Energy,Organized Crime,10,2024-01-02,20,Tuesday,2024-01,2024Q1,2024,2745,-12.470901353557542,-58.77306562396986
2024-01-02 21:00:00,Cyber Attack,Medium,South America,Manufacturing,Nation State,6,2024-01-02,21,Tuesday,2024-01,2024Q1,2024,2751,-15.14940652734078,-58.13798185010515
2024-01-02 22:00:00,Physical Intrusion,Low,North America,Healthcare,Unknown,98,2024-01-02,22,Tuesday,2024-01,2024Q1,2024,2849,43.08411542286278,-92.2943415351302
2024-01-02 23:00:00,Social Engineering,Critical,North America,Healthcare,Hacktivist,95,2024-01-02,23,Tuesday,2024-01,2024Q1,2024,2944,38.634532912303136,-93.45172057921418
2024-01-03 00:00:00,Physical Intrusion,Low,Australia,Government,Nation State,52,2024-01-03,0,Wednesday,2024-01,2024Q1,2024,2996,-26.00570406237338,134.43140856956902
2024-01-03 01:00:00,Insider Threat,Low,North America,Manufacturing,Hacktivist,50,2024-01-03,1,Wednesday,2024-01,2024Q1,2024,3046,41.38780422747948,-103.11954015231464
2024-01-03 02:00:00,Insider Threat,Medium,Europe,Finance,Insider,58,2024-01-03,2,Wednesday,2024-01,2024Q1,2024,3104,51.935733283845416,16.352293911851866
2024-01-03 03:00:00,Insider Threat,Low,South America,Government,Organized Crime,52,2024-01-03,3,Wednesday,2024-01,2024Q1,2024,3156,-8.941915105431644,-48.558297444128726
2024-01-03 04:00:00,Insider Threat,Medium,Asia,Energy,Organized Crime,13,2024-01-03,4,Wednesday,2024-01,2024Q1,2024,3169,40.23860756683203,104.8586189595033
2024-01-03 05:00:00,Social Engineering,Medium,Australia,Energy,Organized Crime,59,2024-01-03,5,Wednesday,2024-01,2024Q1,2024,3228,-25.21800920432216,137.4984799225573
2024-01-03 06:00:00,Data Breach,Medium,Australia,Technology,Insider,39,2024-01-03,6,Wednesday,2024-01,2024Q1,2024,3267,-32.050718545630936,133.37152159466532
2024-01-03 07:00:00,Cyber Attack,High,Africa,Government,Unknown,53,2024-01-03,7,Wednesday,2024-01,2024Q1,2024,3320,3.4201031536525783,22.655310860641872
2024-01-03 08:00:00,Insider Threat,Low,South America,Manufacturing,Hacktivist,58,2024-01-03,8,Wednesday,2024-01,2024Q1,2024,3378,-12.360924620368614,-69.91180370191752
2024-01-03 09:00:00,Physical Intrusion,Medium,South America,Government,Nation State,20,2024-01-03,9,Wednesday,2024-01,2024Q1,2024,3398,-13.914880363327349,-62.62204246011195
2024-01-03 10:00:00,Insider Threat,Medium,South America,Government,Unknown,63,2024-01-03,10,Wednesday,2024-01,2024Q1,2024,3461,-11.133998916421298,-56.38197499246503
2024-01-03 11:00:00,Physical Intrusion,Medium,North America,Government,Organized Crime,96,2024-01-03,11,Wednesday,2024-01,2024Q1,2024,3557,38.157097056299364,-104.37487532188393
2024-01-03 12:00:00,Physical Intrusion,High,Europe,Healthcare,Organized Crime,10,2024-01-03,12,Wednesday,2024-01,2024Q1,2024,3567,42.02487811722606,12.772790732650888
2024-01-03 13:00:00,Insider Threat,Low,Asia,Technology,Unknown,26,2024-01-03,13,Wednesday,2024-01,2024Q1,2024,3593,30.628202464097093,107.60056654822768
2024-01-03 14:00:00,Social Engineering,Medium,North America,Finance,Hacktivist,19,2024-01-03,14,Wednesday,2024-01,2024Q1,2024,3612,25.51537681451001,-97.10430474281583
2024-01-03 15:00:00,Physical Intrusion,Low,Europe,Finance,Unknown,93,2024-01-03,15,Wednesday,2024-01,2024Q1,2024,3705,52.21918023020318,7.463235666636935
2024-01-03 16:00:00,Physical Intrusion,Critical,South America,Finance,Insider,61,2024-01-03,16,Wednesday,2024-01,2024Q1,2024,3766,-15.330127221056893,-56.17376971271062
2024-01-03 17:00:00,Insider Threat,Low,Europe,Healthcare,Organized Crime,77,2024-01-03,17,Wednesday,2024-01,2024Q1,2024,3843,54.303511777005454,19.24210279397306
2024-01-03 18:00:00,Physical Intrusion,High,North America,Technology,Hacktivist,34,2024-01-03,18,Wednesday,2024-01,2024Q1,2024,3877,43.76780077200007,-102.45377580005287
2024-01-03 19:00:00,Physical Intrusion,Low,South America,Manufacturing,Nation State,84,2024-01-03,19,Wednesday,2024-01,2024Q1,2024,3961,-17.449037366906285,-63.349443281563374
2024-01-03 20:00:00,Insider Threat,Low,North America,Technology,Organized Crime,44,2024-01-03,20,Wednesday,2024-01,2024Q1,2024,4005,35.87742716098511,-100.85157921253997
2024-01-03 21:00:00,Insider Threat,Medium,Asia,Healthcare,Unknown,18,2024-01-03,21,Wednesday,2024-01,2024Q1,2024,4023,31.061253571057634,106.37588373146728
2024-01-03 22:00:00,Cyber Attack,High,South America,Manufacturing,Hacktivist,98,2024-01-03,22,Wednesday,2024-01,2024Q1,2024,4121,-5.4245731293711135,-65.15070348399814
2024-01-03 23:00:00,Social Engineering,Medium,Europe,Government,Organized Crime,72,2024-01-03,23,Wednesday,2024-01,2024Q1,2024,4193,49.243322283227315,7.728010529551898
2024-01-04 00:00:00,Social Engineering,Critical,North America,Energy,Nation State,16,2024-01-04,0,Thursday,2024-01,2024Q1,2024,4209,38.63270935146681,-92.7212734908348
2024-01-04 01:00:00,Physical Intrusion,Medium,Africa,Government,Nation State,87,2024-01-04,1,Thursday,2024-01,2024Q1,2024,4296,1.457239080406699,25.67982625108008
2024-01-04 02:00:00,Social Engineering,Medium,Europe,Finance,Unknown,96,2024-01-04,2,Thursday,2024-01,2024Q1,2024,4392,42.06751473463677,5.046074521350368
2024-01-04 03:00:00,Physical Intrusion,Low,Europe,Government,Insider,77,2024-01-04,3,Thursday,2024-01,2024Q1,2024,4469,48.01396226326144,19.32953489210511
2024-01-04 04:00:00,Cyber Attack,High,South America,Healthcare,Unknown,26,2024-01-04,4,Thursday,2024-01,2024Q1,2024,4495,-19.28323515109233,-62.149625082568825
2024-01-04 05:00:00,Insider Threat,Low,Australia,Finance,Hacktivist,65,2024-01-04,5,Thursday,2024-01,2024Q1,2024,4560,-30.33168552139528,136.67729731927622
2024-01-04 06:00:00,Insider Threat,High,Europe,Energy,Unknown,66,2024-01-04,6,Thursday,2024-01,2024Q1,2024,4626,48.689279596327474,10.208359269709115
2024-01-04 07:00:00,Insider Threat,Critical,North America,Manufacturing,Hacktivist,77,2024-01-04,7,Thursday,2024-01,2024Q1,2024,4703,40.23620123813247,-95.40683444565994
2024-01-04 08:00:00,Social Engineering,Critical,Africa,Manufacturing,Insider,27,2024-01-04,8,Thursday,2024-01,2024Q1,2024,4730,-6.2746952076783105,14.283008599720837
2024-01-04 09:00:00,Cyber Attack,Medium,Asia,Finance,Unknown,4,2024-01-04,9,Thursday,2024-01,2024Q1,2024,4734,33.17203437993567,102.36443502575311
2024-01-04 10:00:00,Social Engineering,Medium,Africa,Government,Nation State,51,2024-01-04,10,Thursday,2024-01,2024Q1,2024,4785,0.3998962595346275,15.416395494655887
2024-01-04 11:00:00,Social Engineering,High,North America,Technology,Hacktivist,84,2024-01-04,11,Thursday,2024-01,2024Q1,2024,4869,42.25795772622814,-105.28188466862288
2024-01-04 12:00:00,Cyber Attack,Low,South America,Technology,Hacktivist,3,2024-01-04,12,Thursday,2024-01,2024Q1,2024,4872,-16.36421003582337,-63.71474264644768
2024-01-04 13:00:00,Cyber Attack,Medium,North America,Manufacturing,Nation State,87,2024-01-04,13,Thursday,2024-01,2024Q1,2024,4959,41.650157769666485,-104.17949922414465
2024-01-04 14:00:00,Cyber Attack,Low,Australia,Technology,Unknown,66,2024-01-04,14,Thursday,2024-01,2024Q1,2024,5025,-26.761266686176306,138.20671574352107
2024-01-04 15:00:00,Cyber Attack,Medium,Australia,Finance,Insider,16,2024-01-04,15,Thursday,2024-01,2024Q1,2024,5041,-18.59262973592348,133.0631249542476
2024-01-04 16:00:00,Insider Threat,Low,Australia,Technology,Organized Crime,74,2024-01-04,16,Thursday,2024-01,2024Q1,2024,5115,-22.279909968169534,133.73089101744569
2024-01-04 17:00:00,Data Breach,Low,Europe,Healthcare,Unknown,28,2024-01-04,17,Thursday,2024-01,2024Q1,2024,5143,46.644150950707576,0.8242640410192159
2024-01-04 18:00:00,Data Breach,Low,South America,Manufacturing,Unknown,44,2024-01-04,18,Thursday,2024-01,2024Q1,2024,5187,-17.47663209460165,-55.058771283600876
2024-01-04 19:00:00,Cyber Attack,Medium,Australia,Energy,Hacktivist,18,2024-01-04,19,Thursday,2024-01,2024Q1,2024,5205,-23.03858472308216,126.43745204474327
2024-01-04 20:00:00,Data Breach,Medium,Asia,Technology,Hacktivist,2,2024-01-04,20,Thursday,2024-01,2024Q1,2024,5207,32.37483720995574,105.4773688546959
2024-01-04 21:00:00,Data Breach,Low,Asia,Healthcare,Insider,78,2024-01-04,21,Thursday,2024-01,2024Q1,2024,5285,25.349716350798566,111.64333978432144
2024-01-04 22:00:00,Cyber Attack,Medium,North America,Healthcare,Insider,44,2024-01-04,22,Thursday,2024-01,2024Q1,2024,5329,41.47861146689446,-92.31338616957757
2024-01-04 23:00:00,Data Breach,Low,Australia,Finance,Insider,20,2024-01-04,23,Thursday,2024-01,2024Q1,2024,5349,-26.916530371171653,128.0828863381912
2024-01-05 00:00:00,Social Engineering,Medium,Europe,Manufacturing,Nation State,56,2024-01-05,0,Friday,2024-01,2024Q1,2024,5405,53.399316273150305,9.10429917763039
2024-01-05 01:00:00,Physical Intrusion,Medium,Asia,Finance,Organized Crime,23,2024-01-05,1,Friday,2024-01,2024Q1,2024,5428,35.20420038786453,108.85029947553974
2024-01-05 02:00:00,Physical Intrusion,Medium,Africa,Energy,Organized Crime,60,2024-01-05,2,Friday,2024-01,2024Q1,2024,5488,3.2294698220234777,17.97491597591503
2024-01-05 03:00:00,Cyber Attack,High,South America,Energy,Insider,71,2024-01-05,3,Friday,2024-01,2024Q1,2024,5559,-2.4048254111917444,-54.595891220219286
2024-01-05 04:00:00,Insider Threat,Low,Africa,Government,Hacktivist,45,2024-01-05,4,Friday,2024-01,2024Q1,2024,5604,6.410398702218552,9.811683260360313
2024-01-05 05:00:00,Cyber Attack,High,Asia,Energy,Organized Crime,47,2024-01-05,5,Friday,2024-01,2024Q1,2024,5651,33.24650125982072,105.76054266203968
2024-01-05 06:00:00,Insider Threat,Medium,Asia,Manufacturing,Unknown,78,2024-01-05,6,Friday,2024-01,2024Q1,2024,5729,37.11583490927353,107.24423370441828
2024-01-05 07:00:00,Physical Intrusion,Medium,North America,Manufacturing,Nation State,37,2024-01-05,7,Friday,2024-01,2024Q1,2024,5766,40.58805133413307,-105.72937749759356
2024-01-05 08:00:00,Cyber Attack,Medium,North America,Finance,Hacktivist,8,2024-01-05,8,Friday,2024-01,2024Q1,2024,5774,41.34199770345737,-95.99593166083906
2024-01-05 09:00:00,Social Engineering,Low,Australia,Healthcare,Nation State,5,2024-01-05,9,Friday,2024-01,2024Q1,2024,5779,-32.83792583949748,129.87775372093273
2024-01-05 10:00:00,Data Breach,Medium,South America,Government,Unknown,23,2024-01-05,10,Friday,2024-01,2024Q1,2024,5802,-9.727929949251148,-51.88256439641767
2024-01-05 11:00:00,Insider Threat,Medium,Australia,Energy,Organized Crime,10,2024-01-05,11,Friday,2024-01,2024Q1,2024,5812,-36.52639543363168,133.38568249587246
2024-01-05 12:00:00,Data Breach,Low,North America,Healthcare,Nation State,27,2024-01-05,12,Friday,2024-01,2024Q1,2024,5839,39.914355546713374,-100.79733897855185
2024-01-05 13:00:00,Data Breach,Low,Europe,Finance,Nation State,99,2024-01-05,13,Friday,2024-01,2024Q1,2024,5938,41.21674700498636,4.831875505183736
2024-01-05 14:00:00,Cyber Attack,Low,South America,Technology,Nation State,1,2024-01-05,14,Friday,2024-01,2024Q1,2024,5939,-18.517390842299335,-61.75044336745629
2024-01-05 15:00:00,Data Breach,Critical,Europe,Government,Unknown,71,2024-01-05,15,Friday,2024-01,2024Q1,2024,6010,51.0482368981973,6.465395046736122
2024-01-05 16:00:00,Social Engineering,Medium,Australia,Manufacturing,Hacktivist,8,2024-01-05,16,Friday,2024-01,2024Q1,2024,6018,-20.65687779968263,136.50971756880054
2024-01-05 17:00:00,Data Breach,Low,North America,Healthcare,Hacktivist,11,2024-01-05,17,Friday,2024-01,2024Q1,2024,6029,45.109956416466076,-98.70646043025992
2024-01-05 18:00:00,Cyber Attack,Low,South America,Finance,Unknown,98,2024-01-05,18,Friday,2024-01,2024Q1,2024,6127,-15.965157587107395,-60.44103400860396
2024-01-05 19:00:00,Social Engineering,Medium,Australia,Finance,Nation State,28,2024-01-05,19,Friday,2024-01,2024Q1,2024,6155,-20.04741754561747,135.84950721088612
2024-01-05 20:00:00,Physical Intrusion,High,Asia,Government,Nation State,34,2024-01-05,20,Friday,2024-01,2024Q1,2024,6189,34.686914691907575,99.53056984354122
2024-01-05 21:00:00,Data Breach,Low,Australia,Government,Insider,43,2024-01-05,21,Friday,2024-01,2024Q1,2024,6232,-28.560949015319295,129.83469910844548
2024-01-05 22:00:00,Cyber Attack,Low,Africa,Energy,Organized Crime,84,2024-01-05,22,Friday,2024-01,2024Q1,2024,6316,1.8665254370838427,26.027536861898554
2024-01-05 23:00:00,Physical Intrusion,High,Asia,Energy,Organized Crime,28,2024-01-05,23,Friday,2024-01,2024Q1,2024,6344,30.412503787936156,101.27133439267745
2024-01-06 00:00:00,Physical Intrusion,Low,Europe,Manufacturing,Hacktivist,49,2024-01-06,0,Saturday,2024-01,2024Q1,2024,6393,49.334040854307204,11.486205706220414
2024-01-06 01:00:00,Insider Threat,Low,Asia,Manufacturing,Unknown,61,2024-01-06,1,Saturday,2024-01,2024Q1,2024,6454,32.60648173380112,93.48461779220541
2024-01-06 02:00:00,Social Engineering,Critical,Australia,Government,Nation State,37,2024-01-06,2,Saturday,2024-01,2024Q1,2024,6491,-32.750208517978976,137.12859557241345
2024-01-06 03:00:00,Data Breach,Medium,Asia,Government,Organized Crime,3,2024-01-06,3,Saturday,2024-01,2024Q1,2024,6494,36.647841744950036,110.8117768438826
2024-01-06 04:00:00,Cyber Attack,Low,Africa,Healthcare,Unknown,9,2024-01-06,4,Saturday,2024-01,2024Q1,2024,6503,0.7199844898328666,20.604523519000537
2024-01-06 05:00:00,Insider Threat,Low,Australia,Energy,Unknown,86,2024-01-06,5,Saturday,2024-01,2024Q1,2024,6589,-19.24744214722147,135.85022138793695
2024-01-06 06:00:00,Social Engineering,Low,Africa,Finance,Nation State,89,2024-01-06,6,Saturday,2024-01,2024Q1,2024,6678,-9.342331308387779,27.84102652406157
2024-01-06 07:00:00,Insider Threat,Low,Asia,Energy,Unknown,2,2024-01-06,7,Saturday,2024-01,2024Q1,2024,6680,31.433522792272015,106.41978814211845
2024-01-06 08:00:00,Social Engineering,High,Africa,Energy,Organized Crime,23,2024-01-06,8,Saturday,2024-01,2024Q1,2024,6703,5.639994951322505,16.57842488913848
2024-01-06 09:00:00,Social Engineering,Medium,Asia,Government,Insider,51,2024-01-06,9,Saturday,2024-01,2024Q1,2024,6754,37.64785046643249,102.80542405364763
2024-01-06 10:00:00,Data Breach,High,South America,Government,Organized Crime,17,2024-01-06,10,Saturday,2024-01,2024Q1,2024,6771,-11.378137309231576,-63.039148511075766
2024-01-06 11:00:00,Social Engineering,Critical,Asia,Energy,Insider,25,2024-01-06,11,Saturday,2024-01,2024Q1,2024,6796,42.25873461159154,109.87408669626605
2024-01-06 12:00:00,Insider Threat,Medium,North America,Technology,Unknown,76,2024-01-06,12,Saturday,2024-01,2024Q1,2024,6872,36.17779629334897,-93.5552681894549
2024-01-06 13:00:00,Social Engineering,Low,Africa,Technology,Organized Crime,27,2024-01-06,13,Saturday,2024-01,2024Q1,2024,6899,-4.321012720347271,25.336454255119296
2024-01-06 14:00:00,Data Breach,Medium,Africa,Manufacturing,Nation State,20,2024-01-06,14,Saturday,2024-01,2024Q1,2024,6919,4.279724828799533,16.35779410829075
2024-01-06 15:00:00,Data Breach,Critical,Europe,Energy,Unknown,73,2024-01-06,15,Saturday,2024-01,2024Q1,2024,6992,53.16881776161561,10.361032374522678
2024-01-06 16:00:00,Insider Threat,High,Europe,Technology,Nation State,87,2024-01-06,16,Saturday,2024-01,2024Q1,2024,7079,49.37396193489975,13.504386842224035
2024-01-06 17:00:00,Physical Intrusion,Low,North America,Manufacturing,Insider,36,2024-01-06,17,Saturday,2024-01,2024Q1,2024,7115,39.23149435480755,-105.8377095420023
2024-01-06 18:00:00,Physical Intrusion,Medium,Africa,Manufacturing,Hacktivist,28,2024-01-06,18,Saturday,2024-01,2024Q1,2024,7143,-4.854842604216895,24.54509340202056
2024-01-06 19:00:00,Social Engineering,Medium,Africa,Energy,Hacktivist,29,2024-01-06,19,Saturday,2024-01,2024Q1,2024,7172,7.892332085433224,24.256930501580477
2024-01-06 20:00:00,Cyber Attack,Critical,Europe,Manufacturing,Insider,42,2024-01-06,20,Saturday,2024-01,2024Q1,2024,7214,60.13228065544787,13.00058211664006
2024-01-06 21:00:00,Social Engineering,Low,Europe,Government,Hacktivist,58,2024-01-06,21,Saturday,2024-01,2024Q1,2024,7272,55.58551895763564,14.107444293311577
2024-01-06 22:00:00,Insider Threat,Medium,Asia,Government,Unknown,32,2024-01-06,22,Saturday,2024-01,2024Q1,2024,7304,38.264561311066075,104.58740998930979
2024-01-06 23:00:00,Insider Threat,High,Australia,Government,Unknown,12,2024-01-06,23,Saturday,2024-01,2024Q1,2024,7316,-22.05059483581533,130.82172799001412
2024-01-07 00:00:00,Insider Threat,Medium,Africa,Finance,Organized Crime,30,2024-01-07,0,Sunday,2024-01,2024Q1,2024,7346,1.6550411726547944,25.851699014387933
2024-01-07 01:00:00,Insider Threat,Medium,Africa,Government,Unknown,60,2024-01-07,1,Sunday,2024-01,2024Q1,2024,7406,-8.813041071596228,20.22884755532848
2024-01-07 02:00:00,Insider Threat,Low,Asia,Government,Hacktivist,11,2024-01-07,2,Sunday,2024-01,2024Q1,2024,7417,32.62102514680386,102.39043055239324
2024-01-07 03:00:00,Data Breach,Low,Africa,Energy,Nation State,84,2024-01-07,3,Sunday,2024-01,2024Q1,2024,7501,4.098929676607058,20.642575515702738
2024-01-07 04:00:00,Physical Intrusion,Low,North America,Technology,Organized Crime,11,2024-01-07,4,Sunday,2024-01,2024Q1,2024,7512,35.76513949732274,-99.39308869666871
2024-01-07 05:00:00,Insider Threat,Critical,Europe,Technology,Nation State,80,2024-01-07,5,Sunday,2024-01,2024Q1,2024,7592,50.77713316259246,7.684248595459302
2024-01-07 06:00:00,Cyber Attack,Low,Europe,Government,Hacktivist,99,2024-01-07,6,Sunday,2024-01,2024Q1,2024,7691,55.78477945425412,12.720568264941706
2024-01-07 07:00:00,Cyber Attack,Medium,Australia,Government,Nation State,50,2024-01-07,7,Sunday,2024-01,2024Q1,2024,7741,-19.135056113859306,144.58062729136708
2024-01-07 08:00:00,Cyber Attack,Medium,Europe,Government,Hacktivist,1,2024-01-07,8,Sunday,2024-01,2024Q1,2024,7742,54.685861364437656,3.7839791256025563
2024-01-07 09:00:00,Cyber Attack,Low,South America,Manufacturing,Unknown,89,2024-01-07,9,Sunday,2024-01,2024Q1,2024,7831,-13.58155811757257,-66.09680224428978
2024-01-07 10:00:00,Data Breach,Medium,North America,Energy,Organized Crime,27,2024-01-07,10,Sunday,2024-01,2024Q1,2024,7858,43.98893239194811,-93.82432639504155
2024-01-07 11:00:00,Cyber Attack,High,North America,Energy,Insider,32,2024-01-07,11,Sunday,2024-01,2024Q1,2024,7890,38.79302311566675,-96.05822313587896
2024-01-07 12:00:00,Insider Threat,High,Asia,Energy,Hacktivist,6,2024-01-07,12,Sunday,2024-01,2024Q1,2024,7896,43.5154237677987,113.3539939978843
2024-01-07 13:00:00,Social Engineering,Medium,South America,Technology,Unknown,41,2024-01-07,13,Sunday,2024-01,2024Q1,2024,7937,-22.953854978187334,-50.54862745615434
